phi;theta;Vol (um3);Flatness;Target
184.634;25.5891;0.00810254;1.49154;0
184.631;63.4767;0.00493886;1.22021;0
184.616;20.67;0.00657342;1.88014;0
184.608;20.363;0.00581766;1.39455;0
184.598;59.8209;0.00831345;1.20526;0
184.595;20.6153;0.00558917;2.45589;0
184.59;45.6013;0.0108092;1.41464;0
184.572;54.7467;0.0047631;2.05605;0
184.553;25.4568;0.00485098;2.43009;0
184.552;57.8531;0.0052728;2.37398;0
184.523;59.4149;0.00555402;1.1967;0
184.509;59.4531;0.029018;1.1383;0
184.501;20.0902;0.00481582;1.36684;0
184.494;46.4521;0.00502674;2.11014;0
184.482;25.2573;0.00641524;2.29066;0
184.478;59.503;0.00472794;1.43871;0
184.469;21.2835;0.00530795;1.63233;0
184.466;60.3449;0.00516734;1.28735;0
184.464;26.8186;0.00465764;1.59786;0
184.463;64.0532;0.00583523;1.1412;0
184.435;25.8294;0.00616918;1.21731;0
184.404;58.9465;0.00824314;3.02594;0
184.395;53.9012;0.0178221;2.11146;0
184.395;26.6449;0.00511462;1.12827;0
184.392;28.8431;0.0047631;1.82961;0
184.376;26.5517;0.0052025;1.11238;0
184.371;25.2313;0.00724131;2.59508;0
184.363;44.1101;0.00467522;1.35659;0
184.349;27.8876;0.00518492;1.51371;0
184.327;59.1253;0.00667888;1.2811;0
184.317;61.1989;0.00551886;1.85185;0
184.313;61.8658;0.00806738;1.42282;0
184.295;57.4351;0.00590554;1.22935;0
184.269;44.5636;0.0108092;1.17407;0
184.263;18.0435;0.00518492;2.45352;0
184.256;43.2602;0.0079795;2.45228;0
184.234;57.0872;0.00514977;1.55585;0
184.221;63.3507;0.00623948;1.83317;0
184.209;60.0444;0.00530795;1.59268;0
184.207;38.5506;0.00683706;1.31836;0
184.123;26.2734;0.0198433;2.11567;0
184.077;27.4425;0.0049037;1.08592;0
184.067;56.8276;0.00694252;2.8679;0
184.058;76.6653;0.0419188;1.81309;0
184.055;62.3869;0.00492128;2.05654;0
184.038;56.9334;0.00513219;1.64377;0
183.999;59.4163;0.0220755;1.11035;0
183.96;41.6943;0.0206694;1.23974;0
183.949;57.6359;0.00474552;1.58555;0
183.916;21.3602;0.0185075;1.35744;0
183.897;59.6686;0.00486855;2.33352;0
183.886;25.5393;0.00587038;1.5389;0
183.858;58.3302;0.00562432;1.54963;0
183.853;44.3776;0.00479825;1.17566;0
183.835;18.7215;0.00504431;1.39457;0
183.826;57.489;0.00479825;5.27585;0
183.822;18.4625;0.152999;1.6376;0
183.814;21.2386;0.00471037;1.25048;0
183.808;46.2606;0.00492128;1.52545;0
183.785;25.9301;0.00597584;1.66342;0
183.784;59.8553;0.00940316;2.1181;0
183.778;59.7769;0.0052025;1.80284;0
183.765;47.0694;0.00492128;1.75926;0
183.74;58.0379;0.00511462;1.54826;0
183.724;47.2291;0.0111783;1.49339;0
183.701;56.9217;0.00499158;1.07121;0
183.68;58.1151;0.00611645;2.27731;0
183.675;60.1139;0.00479825;1.20054;0
183.662;47.3803;0.00502674;1.81826;0
183.647;55.2306;0.00919225;1.46257;0
183.639;26.2162;0.00465764;1.56884;0
183.609;58.3753;0.00557159;2.19846;0
183.567;46.3692;0.0052728;1.8447;0
183.544;61.636;0.00502674;1.16841;0
183.524;59.82;0.00629221;2.79047;0
183.516;20.1377;0.00488613;1.40397;0
183.513;23.8587;0.00715343;1.51949;0
183.483;46.7038;0.00595826;1.57095;0
183.469;49.1762;0.0163633;1.77079;0
183.462;59.6099;0.00616918;1.3837;0
183.451;19.4952;0.00701282;2.71002;0
183.45;26.7356;0.0131293;1.43118;0
183.443;60.8634;0.0057122;4.15663;0
183.442;60.6352;0.00639766;1.96127;0
183.391;26.2616;0.0158887;1.20558;0
183.371;59.6166;0.0160469;1.53388;0
183.366;41.0014;0.00488613;2.12255;0
183.349;25.889;0.00523765;1.62631;0
183.295;60.5859;0.00518492;1.69805;0
183.285;26.0223;0.00657342;1.8824;0
183.277;57.4858;0.0053431;1.40035;0
183.25;58.2183;0.0049037;1.9886;0
183.197;28.7471;0.00550129;1.39982;0
183.193;59.4116;0.00488613;1.73784;0
183.104;59.7302;0.00485098;1.41092;0
183.075;25.7457;0.0070304;1.42362;0
183.069;20.2569;0.00492128;1.6071;0
183.044;40.255;0.0165214;1.22912;0
183.019;57.9293;0.00486855;1.67888;0
182.979;60.2874;0.00499158;2.41088;0
182.953;21.5899;0.00580008;1.20764;0
182.896;47.3823;0.00539583;1.76306;0
182.845;46.4842;0.00553644;1.43305;0
182.813;29.6443;0.0171542;1.13376;0
182.812;57.3134;0.00681949;1.16237;0
182.812;59.9744;0.00645039;3.08849;0
182.811;60.7943;0.00581766;1.15815;0
182.798;42.3422;0.00645039;1.72349;0
182.768;42.1512;0.0109147;1.07754;0
182.758;25.7207;0.0115123;1.68579;0
182.757;24.0489;0.161875;1.09836;0
182.728;60.2511;0.0270495;1.78724;0
182.726;62.2242;0.0075401;1.26108;0
182.708;26.3905;0.00806738;1.92454;0
182.693;25.6933;0.00931528;1.69032;0
182.692;55.2025;0.00543098;2.55149;0
182.654;25.3937;0.00734677;1.13033;0
182.653;58.2728;0.0048334;1.93144;0
182.646;57.1975;0.00592311;1.70947;0
182.645;26.3133;0.0047631;2.12637;0
182.611;46.8462;0.0839606;2.36163;0
182.608;57.2485;0.00616918;1.16734;0
182.534;59.1842;0.00551886;1.65014;0
182.506;21.2174;0.0133753;1.42945;0
182.487;18.1291;0.00467522;1.90247;0
182.483;58.7679;0.00998317;1.81044;0
182.442;58.4673;0.00499158;1.95506;0
182.374;26.7957;0.00601099;1.47522;0
182.367;17.6866;0.00650312;1.59909;0
182.35;58.2184;0.00813769;1.61979;0
182.327;61.5795;0.00467522;1.59327;0
182.317;26.6405;0.00486855;1.25725;0
182.307;56.6706;0.00569462;1.28357;0
182.294;22.7204;0.00488613;1.39153;0
182.189;26.5536;0.011688;1.58096;0
182.106;51.875;0.00507946;2.30007;0
182.025;57.7242;0.0130941;2.65556;0
182;60.6811;0.00513219;2.32627;0
181.971;59.0917;0.00857709;1.26494;0
181.958;64.4631;0.0047631;1.94416;0
181.947;46.7115;0.0052025;2.80457;0
181.933;19.7939;0.00581766;1.38764;0
181.913;38.3299;0.00583523;4.08024;0
181.902;62.7834;0.00620433;1.21182;0
181.9;26.9895;0.00492128;1.49969;0
181.861;46.8708;0.00465764;2.20599;0
181.854;19.7814;0.0946116;1.60099;0
181.835;18.0556;0.0065207;1.36992;0
181.835;26.8449;0.0047631;1.66582;0
181.81;57.8519;0.0052025;1.69656;0
181.792;48.7922;0.017119;1.82574;0
181.785;46.8004;0.00532553;1.98367;0
181.783;27.503;0.00465764;1.44334;0
181.765;45.8749;0.012725;1.09815;0
181.677;23.6209;0.0057122;1.73314;0
181.676;19.3141;0.00525522;1.15998;0
181.663;23.4215;0.0116705;1.18643;0
181.661;46.3848;0.00639766;1.03521;0
181.594;25.7493;0.00956134;2.59076;0
181.577;21.0909;0.00671403;1.14624;0
181.553;20.5408;0.0178045;1.59464;0
181.543;25.8837;0.00762798;1.33277;0
181.526;63.1236;0.00478067;1.53855;0
181.499;48.2313;0.00896376;1.41821;0
181.49;60.0437;0.00532553;3.88399;0
181.476;55.7733;0.00850678;1.77866;0
181.473;19.4167;0.00653827;1.26447;0
181.436;53.8576;0.00585281;2.30518;0
181.407;23.9493;0.0182439;1.34355;0
181.395;61.6164;0.00820799;1.22814;0
181.377;25.9519;0.00655585;1.2348;0
181.377;26.4289;0.0052025;1.15337;0
181.364;60.5568;0.00634494;1.70736;0
181.344;26.3374;0.00724131;1.77639;0
181.344;60.4046;0.00592311;1.29729;0
181.331;25.913;0.00514977;1.78881;0
181.301;57.7188;0.00550129;1.68402;0
181.295;23.2959;0.00499158;1.71479;0
181.288;23.5533;0.00479825;2.52095;0
181.287;26.8039;0.00806738;1.04285;0
181.28;25.5421;0.00706555;1.62737;0
181.276;45.9005;0.00511462;1.15529;0
181.262;27.0999;0.0062219;1.03352;0
181.229;46.9504;0.00558917;1.79315;0
181.21;27.5154;0.0049037;1.43873;0
181.207;58.3801;0.0049037;1.44258;0
181.187;66.3662;0.00820799;1.63799;0
181.162;26.0766;0.00488613;1.15093;0
181.125;40.6507;0.00507946;1.78842;0
181.104;27.0201;0.00465764;1.43775;0
181.094;47.298;0.00474552;1.96153;0
181.085;22.9293;0.0102995;1.42244;0
181.062;46.8598;0.0130941;1.30536;0
181.052;18.9615;0.00905164;1.47959;0
181.044;57.7515;0.00481582;1.88598;0
181.012;49.3786;0.00764556;3.65345;0
180.964;26.5109;0.00479825;1.51771;0
180.943;47.5703;0.0477364;1.57749;0
180.943;24.9679;0.00662615;1.20175;0
180.907;18.6817;0.00847163;1.64112;0
180.882;61.8709;0.0118462;1.20874;0
180.849;31.5759;0.00553644;1.67791;0
180.837;18.8187;0.00467522;1.43032;0
180.835;49.2253;0.00931528;3.80202;0
180.812;47.3078;0.011565;1.23408;0
180.802;25.1071;0.00467522;1.4398;0
180.777;55.1286;0.0097371;1.35725;0
180.761;18.463;0.0073995;1.28319;0
180.759;25.7542;0.013885;1.3321;0
180.757;26.2611;0.00819042;1.44417;0
180.748;59.4112;0.0141663;1.47529;0
180.724;27.6603;0.00616918;1.93021;0
180.695;24.4809;0.00486855;1.19287;0
180.686;59.478;0.00522007;2.73471;0
180.684;28.9398;0.00646797;1.16304;0
180.666;60.5419;0.0261179;1.29477;0
180.666;24.7447;0.00523765;1.00332;0
180.661;27.6632;0.00681949;1.03828;0
180.657;27.6751;0.0122153;1.8537;0
180.642;26.4593;0.00952619;1.32126;0
180.633;39.4944;0.011442;1.06346;0
180.63;59.6472;0.00606372;3.11486;0
180.629;22.3403;0.0057122;1.68688;0
180.627;60.4816;0.00506189;1.46083;0
180.624;63.4119;0.00743465;1.30443;0
180.623;60.6069;0.00478067;2.51088;0
180.605;19.4383;0.00555402;1.47463;0
180.605;59.4866;0.00492128;1.94747;0
180.59;24.9733;0.0216712;1.30667;0
180.58;21.0453;0.00717101;1.28472;0
180.549;58.7541;0.00590554;1.45263;0
180.528;62.9482;0.00530795;1.6102;0
180.494;60.1625;0.011565;1.11374;0
180.432;59.191;0.00509704;1.78369;0
180.425;61.5663;0.00541341;1.34601;0
180.421;26.4999;0.00555402;1.14384;0
180.399;58.2957;0.00511462;1.69361;0
180.364;57.0758;0.00998317;1.46322;0
180.354;46.1847;0.00587038;1.39054;0
180.335;40.4162;0.0356969;1.23578;0
180.319;45.7864;0.014219;1.45202;0
180.317;60.5458;0.00548371;1.26898;0
180.284;27.8393;0.00625706;1.48811;0
180.259;23.6077;0.00536068;2.05961;0
180.247;57.9923;0.00507946;1.40394;0
180.244;28.5705;0.0115826;2.06418;0
180.221;26.418;0.00831345;1.32516;0
180.161;59.8123;0.00543098;2.01445;0
180.085;58.3749;0.0078389;2.95147;0
180.085;61.9721;0.00650312;1.85832;0
180.052;24.83;0.00467522;2.66522;0
180.027;23.2507;0.0433248;1.86329;0
179.927;31.703;0.00539583;2.96902;0
179.913;59.5487;0.00481582;1.29409;0
179.905;26.9008;0.00609887;1.21475;0
179.89;21.2689;0.0319532;1.53325;0
179.883;64.0059;0.0105456;1.89603;0
179.87;20.8622;0.00880558;1.37493;0
179.842;23.886;0.00687222;1.4675;0
179.836;63.3485;0.00499158;1.86888;0
179.784;52.3265;0.12428;1.20787;0
179.778;26.7656;0.00525522;1.21078;0
179.777;55.7557;0.00636251;2.07738;0
179.776;19.4505;0.0088583;1.88984;0
179.762;56.4792;0.00796193;1.97683;0
179.762;22.489;0.00687222;1.56616;0
179.752;60.5296;0.00708313;1.41415;0
179.705;19.4263;0.0118462;1.33867;0
179.688;64.3053;0.00486855;1.26743;0
179.653;27.139;0.0048334;1.24231;0
179.649;22.8749;0.0256258;1.4987;0
179.615;20.9801;0.00495643;1.78878;0
179.6;26.2311;0.00632736;1.55884;0
179.588;61.8474;0.00638009;1.69235;0
179.579;61.7413;0.00548371;1.72663;0
179.574;60.2252;0.00481582;1.39223;0
179.542;59.9829;0.00968438;1.03104;0
179.532;58.54;0.0265925;4.30083;0
179.505;19.5767;0.0048334;1.37626;0
179.49;60.4756;0.00587038;1.53986;0
179.464;61.7557;0.00692494;1.72101;0
179.438;18.2963;0.00513219;1.64626;0
179.435;47.9892;0.00664373;1.55351;0
179.389;26.85;0.00623948;1.52882;0
179.329;60.8901;0.00481582;2.66677;0
179.32;20.1201;0.00479825;1.29025;0
179.317;60.1528;0.00516734;1.44478;0
179.311;26.0573;0.0047631;1.67182;0
179.291;58.051;0.00717101;2.71824;0
179.27;18.5274;0.0157832;1.30312;0
179.248;59.509;0.00500916;1.14112;0
179.221;63.1974;0.0118638;1.44095;0
179.215;26.5575;0.0161523;1.53863;0
179.2;26.3738;0.0136741;1.50816;0
179.19;27.221;0.00824314;1.187;0
179.186;47.5822;0.00857709;1.37653;0
179.183;46.2802;0.00801466;1.33368;0
179.161;58.2443;0.00623948;1.25593;0
179.133;46.1269;0.0246591;1.72762;0
179.131;41.4983;0.00479825;1.74716;0
179.111;48.2169;0.00539583;2.83522;0
179.06;60.7164;0.0047631;1.79722;0
179.059;62.3424;0.0150451;1.64081;0
179.028;53.2682;0.00587038;2.52523;0
179.023;28.8485;0.0052728;1.31544;0
179.015;18.7501;0.0113717;1.60967;0
179.014;44.9799;0.00507946;1.39025;0
178.998;46.8426;0.00574735;1.53656;0
178.989;60.8687;0.00592311;2.13155;0
