Spacing,26
Voids


Label Id,X1,Y1,Z1,X2,Y2,Z2,a11,a22,a33,a12,a13,a23,DimX,DimY,DimZ,phi,theta,Xm,Ym,Zm,Volume,Roundness,FeretDiam,Flatness,VoxDimX,VoxDimY,VoxDimZ,MajorLength,MinorLength,
47,17073.3,4144.85,22121.5,18438.5,3981.81,19494.8,0.212044,0.00302392,0.784932,0.025322,0.407971,0.0487193,1482,286,2522,173.19,27.6296,17755.9,4063.33,20808.1,4.45903e+07,0,0,3.32025,57,11,97,2964.8,108.468,
48,20245.3,3410.56,28428.9,17135.5,2884.7,26631.9,0.733936,0.0209871,0.245076,0.12411,0.424111,0.0717178,3562,650,2080,9.598,60.3268,18690.4,3147.63,27530.4,4.37115e+07,0,0,1.85525,137,25,80,3629.92,115.354,
49,30296.8,4927.91,18784,31333.7,4928.4,16370.5,0.155831,3.37789e-08,0.844169,-7.2552e-05,0.362695,-0.000168864,1300,182,2808,180.027,23.2507,30815.3,4928.15,17577.3,4.33248e+07,0,0,1.86329,50,7,108,2626.82,125.147,
50,40662.8,6060.96,13736.6,38569,5453.97,10451.6,0.282028,0.0237038,0.694268,0.0817627,0.442496,0.128284,2236,702,3432,16.1674,33.5683,39615.9,5757.47,12094.1,4.29557e+07,0,0,1.08177,86,27,132,3942.5,126.912,
51,27252.3,2042.79,10281,26709.6,2004.29,10409.9,0.942066,0.00474039,0.053194,-0.0668263,0.223858,-0.0158796,624,416,520,184.058,76.6653,26981,2023.54,10345.4,4.19188e+07,0,0,1.81309,24,16,20,559.11,267.336,
52,12449.6,6156.13,40056.1,13722.7,5490.96,36765,0.125691,0.0343138,0.839995,0.0656729,0.32493,0.169775,1456,780,3562,152.413,23.5785,13086.1,5823.54,38410.6,4.11103e+07,0,0,2.09163,56,30,137,3590.85,114.562,
53,25862.7,2412.8,7793.23,24282.9,2047.63,6614.1,0.620933,0.0331741,0.345893,0.143523,0.46344,0.10712,1820,442,1378,13.0149,53.9758,25072.8,2230.22,7203.67,4.05303e+07,0,0,3.93278,70,17,53,2004.89,103.364,
54,15965.2,2320.12,15537.9,16843,2144.41,13117.9,0.115739,0.0046371,0.879624,0.0231666,0.319071,0.0638663,1014,286,2678,168.681,20.301,16404.1,2232.26,14327.9,4.03545e+07,0,0,1.28111,39,11,103,2580.31,144.983,
55,37860.9,4711.34,15192.2,34838.8,3970.91,13456.9,0.719569,0.0431925,0.237238,0.176295,0.41317,0.101227,3094,806,1768,13.7664,60.8517,36349.9,4341.12,14324.5,4.02139e+07,0,0,1.37718,119,31,68,3562.73,124.372,
56,41967.5,6022.23,14259.3,39385.6,5445.6,12849.8,0.741879,0.0370055,0.221115,0.165691,0.40502,0.0904571,2574,728,1456,12.5898,61.9508,40676.6,5733.91,13554.5,4.0003e+07,0,0,1.60275,99,28,56,2997.57,119.009,
